,,2016postVFP_UL,,,,,,,,,,,,,,
,"Samples are ordered by categories, then within each category, alphanumerically.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Data,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,True value,,,,,,,,
,,,,,,,,,,,,,,,,
,Muon_F,/SingleMuon/Run2016F-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,8024195,,,,,8024195,,,,,,,,
,Muon_G,/SingleMuon/Run2016G-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,149916849,,,,,147001643,,,,,,,,
,Muon_H,/SingleMuon/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,174035164,,,,,174035164,,,,,,,,
,,,,,,,,,,,,,,,,
,EGamma_F,/SingleElectron/Run2016F-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,8858206,,,,,8858206,,,,,,,,
,EGamma_G,/SingleElectron/Run2016G-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,153363109,,,,,153363109,,,,,,,,
,EGamma_H,/SingleElectron/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,129021893,,,,,129021893,,,,,,,,
,,,Total,16227.0000,,,,,,,,,,,,
,,Golden JSON = Cert_271036-284044_13TeV_Legacy2016_Collisions16_JSON.txt,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,MC (SM backgrounds),,,,,,,,,,,,,,
,sample_subsample,Full DAS string,xSec (pb),xSec (pb) (used),nEvtGen,nEvtPass,Accp (%),Lumi (pb-1),Comments/Source,,,,,,,
,,,,,,,,,,,,,,,,
,Single W production,,,,,,,,,,,,,,,
,WtoLNu_Inclusive,/WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM,6.748e+04 +- 6.117e+02,67480.0000,28268221,,0.000,418.913,,,,,,,,
,WtoLNu_70to100,/WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM,1.267e+03 +- 5.402e+00,1267.0000,19439931,,0.000,15343.276,,,,,,,,
,WtoLNu_100to200,/WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM,1.259e+03 +- 5.438e+00,1259.0000,19753958,,0.000,15690.197,,,,,,,,
,WtoLNu_200to400,/WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM,3.372e+02 +- 1.513e+00,337.2000,15067621,,0.000,44684.523,,,,,,,,
