,,2016preVFP_UL,,,,,,,,,,,,,,,,
,"Samples are ordered by categories, then within each category, alphanumerically.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Data,,,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,True value,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Muon_B1,/SingleMuon/Run2016B-ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,2789243,,,,,2789243,,,,,,,,,,
,Muon_B2,/SingleMuon/Run2016B-ver2_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,158145722,,,,,158145722,,,,,,,,,,
,Muon_C,/SingleMuon/Run2016C-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,67441308,,,,,67441308,,,,,,,,,,
,Muon_D,/SingleMuon/Run2016D-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,98017996,,,,,98017996,,,,,,,,,,
,Muon_E,/SingleMuon/Run2016E-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,90984718,,,,,90984718,,,,,,,,,,
,Muon_FHIPM,/SingleMuon/Run2016F-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,57465359,,,,,57465359,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,EGamma_B1,/SingleElectron/Run2016B-ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,1422819,,,,,1422819,,,,,,,,,,
,EGamma_B2,/SingleElectron/Run2016B-ver2_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,246440440,,,,,246440440,,,,,,,,,,
,EGamma_C,/SingleElectron/Run2016C-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,97259854,,,,,97259854,,,,,,,,,,
,EGamma_D,/SingleElectron/Run2016D-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,148167727,,,,,148167727,,,,,,,,,,
,EGamma_E,/SingleElectron/Run2016E-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,117269446,,,,,117269446,,,,,,,,,,
,EGamma_FHIPM,/SingleElectron/Run2016F-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,61735326,,,,,61735326,,,,,,,,,,
,,,Total,19692.0000,,,,,,,,,,,,,,
,,Golden JSON = Cert_271036-284044_13TeV_Legacy2016_Collisions16_JSON.txt,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,MC (SM backgrounds),,,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,xSec (pb),xSec (pb) (used),nEvtGen,nEvtPass,Accp (%),Lumi (pb-1),SumGenWt,AvgGenWt,Comments/Source,,,,,,,
,,,,,,,,,,,,,,,,,,
,Single W production,,,,,,,,,,,,,,,,,
,WtoLNu_Inclusive,/WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v2/NANOAODSIM,6.748e+04 +- 6.117e+02,67480.0000,28949426,,0.000,429.007,4989491447552,172351.999226,,,,,,,,
