,,Run3Summer22,,,,,,,,,,,,,,,,
,"Samples are ordered by categories, then within each category, alphanumerically.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Data,,,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,True value,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Muon_C,/Muon/Run2022C-22Sep2023-v1/NANOAOD,138427345,,,,,138427345,,,,,,,,,,
,Muon_D,/Muon/Run2022D-22Sep2023-v1/NANOAOD,75468381,,,,,75468381,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,EGamma_C,/EGamma/Run2022C-22Sep2023-v1/NANOAOD,263689151,,,,,263689151,,,,,,,,,,
,EGamma_D,/EGamma/Run2022D-22Sep2023-v1/NANOAOD,89134996,,,,,89134996,,,,,,,,,,
,,,Total,7980.4000,,,,,,,,,,,,,,
,,Golden JSON = Cert_Collisions2022_355100_362760_Golden.json,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,MC (SM backgrounds),,,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,xSec (pb),xSec (pb) (used),nEvtGen,nEvtPass,Accp (%),Lumi (pb-1),SumGenWt,AvgGenWt,Comments/Source,,,,,,,
,,,,,,,,,,,,,,,,,,
,Single W production,,,,,,,,,,,,,,,,,
,WtoLNu_Inclusive,/WtoLNu-2Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-JMENano12p5_132X_mcRun3_2022_realistic_v3-v3/NANOAODSIM,6.812e+04 +- 4.137e+02,64481.5800,37338382,,0.000,579.055,6617068018008,177218.927644,arXiv:2406.05101 ,,,,,,,
,WGtoLNuG_10to100,/WGtoLNuG-1Jets_PTG-10to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer22NanoAODv12-130X_mcRun3_2022_realistic_v5-v2/NANOAODSIM,6.692e+02 +- 3.759e+00,669.2000,51070411,,0.000,76315.617,64218821000,1257.456514,,,,,,,,
