,2016postVFP_UL,,,,,,,,,
,,,,,,,,,,
,Data,,,,,,,,,
,Sample,Subsample,DAS,nEvtTotal,Lumi (pb-1),Original nEvt,Missing data (%),,,
,SingleMuon,SingleMuon_F,/SingleMuon/Run2016F-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,8024195,,8024195  ,0.0000,,,
,,SingleMuon_G,/SingleMuon/Run2016G-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,147001643,,149916849  ,1.9445,,,
,,SingleMuon_H,/SingleMuon/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,174035164,,174035164  ,0.0000,,,
,SingleElectron,SingleElectronFpostVFP,/SingleElectron/Run2016F-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,8858206,,8858206  ,0.0000,,Color codes,
,,SingleElectronGpostVFP,/SingleElectron/Run2016G-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,153363109,,153363109  ,0.0000,,,Zombie/missing files
,,SingleElectronHpostVFP,/SingleElectron/Run2016H-UL2016_MiniAODv2_NanoAODv9-v1/NANOAOD,129021893,,129021893  ,0.0000,,,Not enough luminosity
,,,,,,,,,,Very wrong xsec
,,,,,,,,,,Under process
,,,,,,,,,,Highlighted comments
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Using values from AN
,,,,,,,,,,
,MC (SM backgrounds),,,,,,,,,
,/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_*/NANOAODSIM,,,,,,,,,
,Sample,Subsample,DAS sample name,nEvtGen,xSec (pb) (GenXsec),xSec (pb) (Used),Lumi (pb-1),Comments ...,,
,,,,,,,,,,
,QCD processes,,,,,,,,,
,QCD_EMEnriched,15to20,QCD_Pt-15to20_EMEnriched_TuneCP5_13TeV-pythia8,4026314,1.330e+06 +- 5.117e+03,1324000.0000,3.0410,,,
,,20to30,QCD_Pt-20to30_EMEnriched_TuneCP5_13TeV-pythia8,7134788,4.917e+06 +- 1.588e+04,4896000.0000,1.4573,,,
,,30to50,QCD_Pt-30to50_EMEnriched_TuneCP5_13TeV-pythia8,4351014,6.434e+06 +- 1.891e+04,6447000.0000,0.6749,,,
,,50to80,QCD_Pt-50to80_EMEnriched_TuneCP5_13TeV-pythia8,5443934,1.980e+06 +- 6.609e+03,1988000.0000,2.7384,,,
,,80to120,QCD_Pt-80to120_EMEnriched_TuneCP5_13TeV-pythia8,4804788,3.650e+05 +- 1.473e+03,367500.0000,13.0743,,,
,,120to170,QCD_Pt-120to170_EMEnriched_TuneCP5_13TeV-pythia8,5007347,6.635e+04 +- 2.167e+02,66590.0000,75.1967,,,
,,170to300,QCD_Pt-170to300_EMEnriched_TuneCP5_13TeV-pythia8,1861129,1.658e+04 +- 6.635e+01,16620.0000,111.9813,,,
,,300toInf,QCD_Pt-300toInf_EMEnriched_TuneCP5_13TeV-pythia8,1138742,1.105e+03 +- 5.033e+00,1104.0000,1031.4692,,,
,QCD_MuEnriched,20to30,QCD_Pt-20To30_MuEnrichedPt5_TuneCP5_13TeV-pythia8,30853571,2.538e+06 +- 1.072e+04,2538000.0000,12.1566,,,
,,30to50,QCD_Pt-30To50_MuEnrichedPt5_TuneCP5_13TeV-pythia8,35474172,1.369e+06 +- 7.188e+03,1369000.0000,25.9125,,,
,,50to80,QCD_Pt-50To80_MuEnrichedPt5_TuneCP5_13TeV-pythia8,21491325,3.780e+05 +- 1.315e+03,378000.0000,56.8554,,,
,,80to120,QCD_Pt-80To120_MuEnrichedPt5_TuneCP5_13TeV-pythia8,22005632,8.943e+04 +- 5.835e+02,89430.0000,246.0654,,,
,,120to170,QCD_Pt-120To170_MuEnrichedPt5_TuneCP5_13TeV-pythia8,19772747,2.109e+04 +- 7.211e+01,21090.0000,937.5413,,,
,,170to300,QCD_Pt-170To300_MuEnrichedPt5_TuneCP5_13TeV-pythia8,34183334,7.001e+03 +- 2.896e+01,7001.0000,4882.6359,,,
,,300to470,QCD_Pt-300To470_MuEnrichedPt5_TuneCP5_13TeV-pythia8,26063956,6.189e+02 +- 2.540e+00,618.9000,42113.3560,,,
,,470to600,QCD_Pt-470To600_MuEnrichedPt5_TuneCP5_13TeV-pythia8,19771458,5.854e+01 +- 3.101e-01,58.5400,337742.7058,,,
,,600to800,QCD_Pt-600To800_MuEnrichedPt5_TuneCP5_13TeV-pythia8,18165741,1.805e+01 +- 8.194e-02,18.0500,1006412.2438,,,
,,800to1000,QCD_Pt-800To1000_MuEnrichedPt5_TuneCP5_13TeV-pythia8,38913226,3.281e+00 +- 1.323e-02,3.2810,11860172.5084,,,
,,,,,,,,,,
,Top production,,,,,,,,,
,SingleTop,s-channel_LeptonDecays,ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8,5471000,3.549e+00 +- 3.075e-03,3.7400,1462834.2246,,,
,,t-channel_AntiTop_InclusiveDecays,ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8,29394000,6.793e+01 +- 4.479e-01,67.9300,432710.1428,,,
,,t-channel_Top_InclusiveDecays,ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8,63073000,1.134e+02 +- 8.831e-01,113.4000,556199.2945,,,
,,tW_AntiTop_InclusiceDecays,ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,2554000,3.251e+01 +- 2.346e-02,32.5100,78560.4429,,,
,,tW_Top_InclusiveDecays,ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,2491000,3.245e+01 +- 2.338e-02,32.4500,76764.2527,,,
,TTBar,TTTo2L2Nu,TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,43546000,6.871e+02 +- 5.174e-01,88.2900,493215.5397,,,
,,TTToSemiLeptonic,TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8,144722000,6.871e+02 +- 5.174e-01,365.3400,396129.6327,,,
,TTW,TTWToLNu,TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8,3322643,2.154e-01 +- 1.399e-03,0.2154,15425454.9675,,,
,TTZ,TTZToLL,TTZToLL_TuneCP5_13TeV_amcatnlo-pythia8,13454550,7.468e-02 +- 1.473e-04,0.0747,180162694.1618,,,
,Rare,THQ,THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8,1619999,7.453e-01 +- 1.164e-03,0.3189,5079959.2349,,,
,,THW,THW_ctcvcp_5f_Hincl_TuneCP5_13TeV_madgraph_pythia8,1496000,1.470e-01 +- 1.487e-04,0.1503,9953426.4804,,,
,,TTHH,TTHH_TuneCP5_13TeV-madgraph-pythia8,152000,6.710e-04 +- 2.261e-06,0.0006655,228399699.4741,,,
,,TTTJ,TTTJ_TuneCP5_13TeV-madgraph-pythia8,160000,4.010e-04 +- 6.863e-07,0.0003974,402617010.5687,,,
,,TTTT,TTTT_TuneCP5_13TeV-amcatnlo-pythia8,2442000,8.091e-03 +- 1.165e-05,0.008213,297333495.6776,,,
,,TTTW,TTTW_TuneCP5_13TeV-madgraph-pythia8,159000,7.282e-04 +- 1.253e-06,0.0007342,216562244.6200,,,
,,TTWH,TTWH_TuneCP5_13TeV-madgraph-pythia8,160000,1.142e-03 +- 1.269e-06,0.001141,140227870.2892,,,
,,TTWW,TTWW_TuneCP5_13TeV-madgraph-pythia8,309000,7.000e-03 +- 8.231e-06,0.006995,44174410.2931,,,
,,TTWZ,TTWZ_TuneCP5_13TeV-madgraph-pythia8,159000,2.457e-03 +- 2.678e-06,0.002448,64950980.3922,,,
,,TTZH,TTZH_TuneCP5_13TeV-madgraph-pythia8,160000,1.135e-03 +- 1.400e-06,0.001129,141718334.8096,,,
,,TTZZ,TTZZ_TuneCP5_13TeV-madgraph-pythia8,152000,1.390e-03 +- 1.667e-06,0.001386,109668109.6681,,,
,,tZq_ll,tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8,3915000,7.561e-02 +- 2.088e-04,0.942,4156050.9554,,,
,,,,,,,,,,
,Single V+X processes,,,,,,,,,
,HTbinnedWJets,Inclusive ,WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,80958227,5.345e+04 +- 1.315e+02,53450.0000,1514.6535,Not using in my analysis,,
,,70to100,WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8,11216350,1.271e+03 +- 4.571e+00,1271.0000,8824.8230,,,
,,100to200,WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8,19753958,1.250e+03 +- 5.261e+00,1250.0000,15803.1664,,,
,,200to400,WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8,15067621,3.380e+02 +- 3.878e+00,338.0000,44578.7604,,,
,,400to600,WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8,2115509,4.544e+01 +- 2.599e-01,45.4400,46556.0960,,,
,,600to800,WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8,2251807,1.089e+01 +- 5.196e-02,10.8900,206777.5023,,,
,,800to1200,WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8,2132228,4.930e+00 +- 2.560e-02,4.9300,432500.6085,,,
,,1200to2500,WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8,2090561,1.157e+00 +- 4.855e-03,1.1570,1806880.7260,,,
,,2500toInf,WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8,709514,2.642e-02 +- 1.517e-04,0.0026,268551854.6556,,,
,WJetsNLO,Inclusive ,WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8,,6.695e+04 +- 3.075e+02,66950.0000,0.0000,Not using in my analysis,,
,,100to250,WJetsToLNu_Pt-100To250_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,7.510e+02 +- 7.187e+00,751.0000,0.0000,Not using in my analysis,,
,,250to400,WJetsToLNu_Pt-250To400_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,2.741e+01 +- 2.335e-01,27.4100,0.0000,Not using in my analysis,,
,,400to600,WJetsToLNu_Pt-400To600_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,3.549e+00 +- 3.579e-02,3.5490,0.0000,Not using in my analysis,,
,,600toInf,WJetsToLNu_Pt-600ToInf_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8,,5.388e-01 +- 4.464e-03,0.5388,0.0000,Not using in my analysis,,
,WGamma,WGToLnuG_01J,WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8,55939475,1.924e+02 +- 1.055e+00,489.0000,114395.6544,,,
,DYJetsToLL,M10To50,DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8,22388550,1.594e+04 +- 4.184e+01,18610,1203.0387,,,
,,M50,DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8,69905044,6.448e+03 +- 3.513e+01,5675,12318.0694,,,
,ZGamma,ZGToLLG_01J,ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8,31562465,5.049e+01 +- 4.366e-01,50.4900,625123.0937,,,
,,,,,,,,,,
,VV processes,,,,,,,,,
,WW,WWTo1L1Nu2Q,WWTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,19976139,5.114e+01 +- 6.865e-01,51.1400,390616.7188,,,
,,WWTo2L2Nu,WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,2900000,1.109e+01 +- 7.040e-03,11.0900,261496.8440,,,
,,WWTo4Q,WWTo4Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,19814659,5.115e+01 +- 2.407e-01,51.1500,387383.3627,,,
,WpWp,WpWpJJEWK,WpWpJJ_EWK_TuneCP5_13TeV-madgraph-pythia8,75000,2.842e-02 +- 4.570e-05,0.04932,1520681.2652,,,
,,WpWpJJQCD,WpWpJJ_QCD_TuneCP5_13TeV-madgraph-pythia8,,2.376e-02 +- 3.124e-05,0.0238,0.0000,Not using in my analysis,,
,WZ,WZTo1L1Nu2Q,WZTo1L1Nu2Q_4f_TuneCP5_13TeV-amcatnloFXFX-pythia8,3690271,9.184e+00 +- 4.719e-02,9.1840,401815.2221,,,
,,WZTo2L2Q,WZTo2L2Q_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8,13526954,6.351e+00 +- 9.139e-02,6.3510,2129893.5601,,,
,,WZTo3LNu,WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8,10441724,5.197e+00 +- 1.777e-02,5.1970,2009182.9902,,,
,ZZ,ZZTo2L2Nu,ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8,15928000,9.738e-01 +- 9.971e-04,0.9738,16356541.3843,,,
,,ZZTo2Q2L,ZZTo2Q2L_mllmin4p0_TuneCP5_13TeV-amcatnloFXFX-pythia8,12819054,3.703e+00 +- 2.972e-02,3.7030,3461802.3224,,,
,,ZZTo2Q2Nu,ZZTo2Q2Nu_TuneCP5_13TeV-amcatnloFXFX-pythia8,2468807,4.498e+00 +- 2.169e-02,4.4980,548867.7190,,,
,,ZZTo4L,ZZTo4L_TuneCP5_13TeV_powheg_pythia8,52104000,1.325e+00 +- 1.220e-03,1.3250,39323773.5849,,,
,,,,,,,,,,
,VVV processes,,,,,,,,,
,WWW,Inclusive,WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8,69000,2.158e-01 +- 2.479e-0,0.2158,319740.5005,,,
,WWZ,Inclusive,WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8,67000,1.707e-01 +- 1.757e-04,0.1707,392501.4646,,,
,WZZ,Inclusive,WZZ_TuneCP5_13TeV-amcatnlo-pythia8,137000,5.709e-02 +- 6.213e-05,0.0571,2399719.7408,,,
,ZZZ,Inclusive,ZZZ_TuneCP5_13TeV-amcatnlo-pythia8,72000,1.476e-02 +- 1.075e-05,0.0148,4878048.7805,,,
,,,,,,,,,,
,Higgs processes,,,,,,,,,
,Higgs,bbH_HToZZTo4L,bbH_HToZZTo4L_M125_TuneCP2_13TeV-jhugenv7011-pythia8,448493,1.000e+00 +- 1.000e+14,0.0001303,3442003069.8388,,,
,,GluGluHToZZTo4L,GluGluHToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8,1000000,2.887e+01 +- 2.027e-02,0.0000328,30525030525.0305,,,
,,GluGluToZH,GluGluToZH_HToZZTo4L_M125_TuneCP5_13TeV-jhugenv723-pythia8,999739,4.889e-06 +- 4.889e+08,0.0129700,77080878.9514,,,
,,GluGluZH,GluGluZH_HToWW_ZTo2L_M-125_TuneCP5_13TeV-powheg-pythia8,242256,6.185e-03 +- 6.763e-06 ,0.0026480,91486404.8338,,,
,,ttHToNonbb,ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,920995,5.013e-01 +- 1.171e-02,0.2118000,4348418.3192,,,
,,VBF_HToZZTo4L,VBF_HToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8,498000,3.935e+00 +- 1.774e-02,0.0010100,493069306.9307,,,
,,VHToNonbb,VHToNonbb_M125_TuneCP5_13TeV-amcatnloFXFX_madspin_pythia8,330462,2.512e+00 +- 1.716e-02,0.0917700,3600980.7127,,,
