,2016preVFP_UL,,,,,,,,,
,,,,,,,,,,
,Data,,,,,,,,,
,Sample,Subsample,DAS,nEvtTotal,Lumi (pb-1),Original nEvt,Missing data (%),,,
,SingleMuon,B-ver1,/SingleMuon/Run2016B-ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,,,2789243  ,100.0000,,,
,,SingleMuon_B,/SingleMuon/Run2016B-ver2_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,158145722,,158145722  ,0.0000,,,
,,SingleMuon_C,/SingleMuon/Run2016C-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,67441308,,67441308  ,0.0000,,,
,,SingleMuon_D,/SingleMuon/Run2016D-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,98017996,,98017996  ,0.0000,,Color codes,
,,SingleMuon_E,/SingleMuon/Run2016E-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,90984718,,90984718  ,0.0000,,,Zombie/missing files
,,SingleMuon_F,/SingleMuon/Run2016F-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,57465359,,57465359  ,0.0000,474844346  ,,Not enough luminosity
,SingleElectron,B-ver1,/SingleElectron/Run2016B-ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,,,1422819  ,100.0000,,,Very wrong xsec
,,SingleElectronBpreVFP_ver2,/SingleElectron/Run2016B-ver2_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,246440440,,246440440  ,0.0000,,,Under process
,,SingleElectronCpreVFP,/SingleElectron/Run2016C-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,97259854,,97259854  ,0.0000,,,Highlighted comments
,,SingleElectronDpreVFP,/SingleElectron/Run2016D-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,145692594,,148167727  ,1.6705,,,Using values from AN
,,SingleElectronEpreVFP,/SingleElectron/Run2016E-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,117269446,,117269446  ,0.0000,,,
,,SingleElectronFpreVFP,/SingleElectron/Run2016F-HIPM_UL2016_MiniAODv2_NanoAODv9-v2/NANOAOD,61735326,,61735326  ,0.0000,672295612  ,,
,,,,,,,,,,
,MC (SM backgrounds),,,,,,,,,
